User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
12549363,female,45,154.0,52.0,26.0,107.0,40.6,173.0
13995058,male,21,187.0,90.0,29.0,111.0,40.5,189.0
17223277,male,58,176.0,77.0,11.0,90.0,40.0,53.0
18175714,male,35,182.0,89.0,24.0,108.0,40.8,161.0
17841615,female,67,171.0,67.0,29.0,116.0,41.1,226.0
16418277,female,66,163.0,60.0,29.0,100.0,40.8,179.0
19165109,male,69,189.0,95.0,15.0,95.0,40.4,98.0
18199020,male,50,183.0,87.0,10.0,88.0,39.6,44.0
13570908,male,41,186.0,82.0,14.0,100.0,40.3,79.0
18084777,female,40,159.0,63.0,12.0,93.0,40.2,59.0
11341405,female,46,170.0,73.0,20.0,105.0,40.7,123.0
13203902,female,27,147.0,52.0,13.0,87.0,39.9,54.0
11756678,male,27,202.0,108.0,5.0,82.0,38.8,14.0
18234025,male,78,175.0,84.0,20.0,109.0,40.3,177.0
18654886,male,60,193.0,97.0,30.0,105.0,40.8,230.0
17188091,female,42,157.0,56.0,3.0,88.0,38.7,14.0
12083988,male,34,181.0,80.0,18.0,101.0,40.3,98.0
19771974,female,41,174.0,74.0,20.0,109.0,40.9,130.0
10315802,female,38,177.0,74.0,25.0,108.0,40.9,158.0
13191795,male,33,175.0,77.0,3.0,81.0,38.5,7.0
14661843,male,24,185.0,83.0,15.0,90.0,40.5,50.0
13228675,male,34,179.0,80.0,18.0,98.0,40.7,90.0
18442309,male,26,169.0,73.0,10.0,85.0,39.8,25.0
12356103,female,72,173.0,73.0,15.0,97.0,40.5,86.0
17118372,male,24,191.0,95.0,6.0,88.0,39.3,20.0
18809970,female,78,179.0,80.0,21.0,100.0,40.8,128.0
16192447,male,76,177.0,83.0,14.0,101.0,40.3,105.0
15397806,female,42,173.0,72.0,28.0,111.0,41.0,189.0
18868750,female,52,165.0,65.0,19.0,105.0,40.4,121.0
15385584,female,28,170.0,71.0,18.0,102.0,40.2,100.0
18723537,female,56,159.0,60.0,5.0,91.0,38.7,25.0
16898284,male,76,197.0,97.0,27.0,109.0,41.1,244.0
13061946,male,23,196.0,90.0,14.0,93.0,40.3,55.0
17143494,male,40,181.0,79.0,12.0,89.0,39.7,47.0
17017700,female,32,157.0,55.0,19.0,113.0,40.7,133.0
16687495,male,23,184.0,81.0,21.0,104.0,40.2,113.0
19674610,female,34,151.0,51.0,7.0,97.0,39.2,38.0
12804422,male,43,169.0,73.0,21.0,104.0,40.6,129.0
13338635,male,37,185.0,92.0,3.0,87.0,38.2,11.0
15797904,female,24,162.0,57.0,22.0,104.0,40.7,129.0
14854195,male,68,169.0,77.0,25.0,108.0,40.6,201.0
19057159,female,34,151.0,56.0,25.0,110.0,40.9,168.0
10803548,male,36,175.0,82.0,22.0,108.0,40.5,146.0
14173949,female,40,178.0,77.0,14.0,89.0,40.3,60.0
13282604,female,58,145.0,47.0,13.0,91.0,39.8,68.0
11907551,male,52,183.0,87.0,11.0,90.0,39.7,53.0
18997284,male,26,191.0,93.0,17.0,96.0,40.3,78.0
18423089,female,71,165.0,67.0,27.0,111.0,41.2,198.0
11860761,male,40,192.0,98.0,24.0,99.0,40.4,139.0
14889237,male,45,190.0,99.0,18.0,105.0,40.6,125.0
15094064,male,30,190.0,85.0,3.0,90.0,38.7,11.0
12259016,female,25,163.0,63.0,20.0,102.0,40.3,112.0
16417729,male,24,191.0,91.0,26.0,107.0,40.6,158.0
11160389,male,21,187.0,83.0,19.0,101.0,40.5,92.0
11583193,female,37,151.0,52.0,15.0,89.0,40.4,69.0
12302799,female,73,184.0,83.0,15.0,98.0,40.6,86.0
16611029,male,30,167.0,70.0,27.0,107.0,40.9,160.0
19292845,male,32,184.0,85.0,5.0,89.0,39.1,18.0
10812157,male,60,182.0,79.0,8.0,82.0,39.6,30.0
13057536,female,73,173.0,72.0,16.0,99.0,40.4,96.0
13900047,male,41,191.0,90.0,9.0,90.0,39.6,39.0
11693744,female,35,145.0,49.0,18.0,103.0,40.2,109.0
19579367,female,33,162.0,57.0,17.0,97.0,40.5,90.0
14316629,female,52,152.0,58.0,10.0,92.0,39.5,51.0
11998292,male,21,181.0,79.0,11.0,90.0,39.9,34.0
12924695,female,76,154.0,56.0,22.0,98.0,40.6,136.0
12636484,male,71,183.0,87.0,26.0,111.0,40.9,231.0
16713463,female,40,162.0,66.0,22.0,101.0,40.9,126.0
13164897,female,56,148.0,52.0,17.0,99.0,40.0,102.0
13782587,female,38,157.0,59.0,11.0,85.0,40.0,45.0
13798638,male,23,193.0,89.0,22.0,105.0,40.5,125.0
11737355,male,23,175.0,73.0,8.0,91.0,39.5,26.0
10780511,male,32,199.0,94.0,3.0,84.0,38.5,9.0
11524122,male,51,188.0,89.0,26.0,97.0,40.9,152.0
10999617,male,32,197.0,104.0,8.0,89.0,40.0,32.0
19786486,female,64,157.0,54.0,16.0,95.0,40.5,91.0
16473518,female,49,166.0,60.0,12.0,95.0,39.8,64.0
14003775,female,59,185.0,80.0,15.0,87.0,40.6,66.0
18398697,male,20,203.0,103.0,11.0,93.0,39.8,44.0
12982082,male,74,196.0,94.0,24.0,102.0,40.7,187.0
16423930,female,33,140.0,48.0,24.0,114.0,40.5,174.0
16325118,female,45,174.0,69.0,21.0,108.0,40.4,137.0
13857166,male,38,172.0,78.0,20.0,94.0,40.5,90.0
15960426,male,33,183.0,80.0,20.0,99.0,40.6,102.0
13034064,male,66,185.0,90.0,13.0,82.0,40.1,56.0
19584126,female,39,170.0,69.0,27.0,110.0,41.2,179.0
18067287,female,57,178.0,78.0,21.0,102.0,40.9,125.0
12005737,female,31,153.0,51.0,5.0,80.0,39.2,18.0
18426166,male,25,181.0,75.0,25.0,107.0,40.7,145.0
13379618,male,31,180.0,76.0,11.0,92.0,40.2,42.0
16042664,female,40,172.0,66.0,10.0,86.0,39.7,41.0
16446052,female,22,161.0,64.0,8.0,93.0,39.7,37.0
17095611,male,28,179.0,87.0,7.0,89.0,39.5,24.0
15589598,male,48,186.0,86.0,28.0,106.0,40.9,196.0
11464905,male,26,183.0,80.0,3.0,78.0,38.3,5.0
13185217,female,38,178.0,68.0,3.0,80.0,38.7,10.0
17823052,male,51,180.0,81.0,29.0,114.0,40.7,239.0
15118439,male,67,195.0,107.0,17.0,105.0,40.3,139.0
12164109,male,22,178.0,80.0,28.0,113.0,40.7,186.0
16647083,female,24,172.0,64.0,30.0,104.0,40.7,174.0
19676431,female,22,176.0,77.0,5.0,77.0,39.4,13.0
11158313,female,21,155.0,59.0,21.0,94.0,40.4,99.0
13197304,male,67,202.0,103.0,24.0,103.0,40.9,188.0
15580707,male,24,200.0,94.0,24.0,112.0,40.4,166.0
10811492,male,44,186.0,96.0,15.0,88.0,40.2,64.0
14495392,female,33,159.0,55.0,27.0,105.0,40.7,167.0
13690107,male,56,187.0,90.0,8.0,87.0,39.8,37.0
10451413,male,51,203.0,104.0,6.0,79.0,39.3,21.0
13918604,male,46,183.0,82.0,24.0,113.0,40.7,189.0
16082376,female,68,150.0,53.0,8.0,76.0,39.8,30.0
10712052,male,56,192.0,101.0,18.0,96.0,40.3,111.0
19715842,female,67,145.0,52.0,26.0,108.0,40.7,186.0
17657345,male,61,194.0,103.0,9.0,88.0,39.9,47.0
19136513,male,36,179.0,82.0,25.0,103.0,40.6,147.0
12736185,male,60,192.0,98.0,10.0,91.0,39.8,56.0
19573367,female,50,170.0,71.0,15.0,97.0,40.1,81.0
15717463,female,52,166.0,63.0,13.0,102.0,40.2,79.0
16563524,female,68,164.0,65.0,11.0,97.0,39.7,64.0
15381703,female,32,160.0,63.0,4.0,82.0,38.6,14.0
15157311,female,23,168.0,69.0,2.0,83.0,37.5,7.0
14430730,male,77,187.0,92.0,25.0,99.0,40.6,186.0
17861443,male,28,178.0,78.0,14.0,90.0,40.1,48.0
14222192,female,44,149.0,56.0,9.0,90.0,39.4,43.0
12222855,male,42,187.0,92.0,5.0,87.0,39.1,20.0
18863986,female,28,163.0,65.0,8.0,87.0,39.2,32.0
13212378,female,43,167.0,71.0,19.0,97.0,40.4,100.0
14554560,female,27,157.0,54.0,10.0,92.0,40.2,47.0
13798941,female,66,156.0,60.0,12.0,85.0,40.2,55.0
18082650,female,50,176.0,70.0,17.0,103.0,40.7,103.0
14108894,female,27,165.0,65.0,15.0,98.0,40.1,78.0
11956200,female,65,148.0,54.0,13.0,85.0,40.3,60.0
10420638,male,61,188.0,86.0,25.0,107.0,40.4,194.0
16090965,female,26,160.0,58.0,14.0,95.0,39.9,69.0
19841917,male,29,172.0,76.0,25.0,103.0,40.9,135.0
16612767,female,67,176.0,68.0,20.0,92.0,40.2,104.0
10299836,female,60,173.0,71.0,14.0,93.0,40.1,72.0
13558123,female,74,172.0,72.0,14.0,91.0,40.4,72.0
15813794,female,40,154.0,59.0,14.0,90.0,40.3,65.0
13220892,male,53,202.0,107.0,26.0,100.0,40.6,176.0
16445155,male,62,183.0,94.0,5.0,84.0,39.2,23.0
15675242,male,72,179.0,80.0,15.0,107.0,40.5,122.0
12055629,female,54,146.0,52.0,4.0,82.0,38.4,17.0
14708063,female,26,170.0,66.0,20.0,102.0,40.5,112.0
19225724,male,66,197.0,105.0,7.0,91.0,39.5,42.0
14700408,female,44,179.0,77.0,4.0,75.0,38.7,11.0
11713594,male,20,196.0,95.0,10.0,89.0,40.0,33.0
14489692,female,44,152.0,50.0,22.0,115.0,40.8,165.0
13788834,female,72,164.0,68.0,15.0,94.0,40.2,83.0
19135581,female,40,164.0,59.0,18.0,109.0,40.3,120.0
16682378,male,46,182.0,89.0,15.0,98.0,40.6,86.0
16480275,female,71,154.0,59.0,9.0,85.0,39.8,42.0
16161839,male,57,183.0,89.0,14.0,95.0,40.2,82.0
15878611,female,46,166.0,68.0,12.0,101.0,40.1,70.0
14477337,female,26,154.0,56.0,5.0,85.0,39.4,20.0
10804602,male,33,183.0,85.0,18.0,99.0,40.5,93.0
11109935,male,38,172.0,75.0,12.0,95.0,40.1,55.0
14852672,male,35,172.0,72.0,25.0,100.0,40.5,129.0
15537129,male,27,201.0,104.0,10.0,90.0,39.6,40.0
10487596,female,21,164.0,61.0,30.0,112.0,40.6,199.0
19902934,male,62,170.0,77.0,9.0,86.0,39.6,40.0
10255842,female,70,167.0,64.0,22.0,97.0,40.4,129.0
15450960,female,21,159.0,62.0,21.0,95.0,40.4,101.0
16819144,female,22,152.0,55.0,22.0,98.0,40.5,115.0
17301298,male,23,180.0,73.0,26.0,105.0,41.1,139.0
13439969,male,25,172.0,79.0,15.0,93.0,40.1,56.0
18451511,female,39,161.0,64.0,9.0,81.0,39.6,32.0
10104386,female,52,179.0,76.0,9.0,90.0,39.8,42.0
18273470,male,73,204.0,103.0,17.0,101.0,39.9,133.0
19486170,female,77,178.0,77.0,29.0,108.0,41.3,202.0
16913565,male,46,177.0,83.0,20.0,98.0,41.0,112.0
16881110,female,29,171.0,72.0,17.0,91.0,40.4,74.0
12922230,male,32,177.0,76.0,17.0,96.0,40.5,76.0
17708474,female,21,161.0,62.0,2.0,76.0,37.8,6.0
18551947,male,39,187.0,90.0,13.0,105.0,39.9,84.0
11709610,female,32,162.0,66.0,4.0,85.0,39.1,15.0
13052161,female,55,161.0,61.0,10.0,89.0,39.8,48.0
18345317,male,68,166.0,71.0,3.0,67.0,38.7,5.0
13002310,male,62,173.0,79.0,12.0,90.0,40.2,61.0
11028954,female,28,160.0,56.0,28.0,107.0,40.4,176.0
19720092,female,28,186.0,84.0,29.0,110.0,41.1,180.0
18636358,male,67,187.0,87.0,9.0,87.0,39.5,46.0
19916602,male,62,188.0,92.0,15.0,91.0,40.4,83.0
15899221,male,25,192.0,90.0,17.0,93.0,40.4,68.0
19890878,female,64,175.0,67.0,19.0,101.0,40.6,117.0
15148015,female,26,167.0,63.0,24.0,99.0,40.9,127.0
10876168,female,39,169.0,65.0,18.0,91.0,40.3,84.0
18300732,female,23,170.0,67.0,3.0,88.0,38.3,12.0
15438462,male,24,199.0,103.0,14.0,87.0,39.9,47.0
15607088,male,28,199.0,94.0,26.0,105.0,40.6,157.0
14847598,male,41,187.0,87.0,2.0,82.0,38.3,6.0
18826115,female,29,161.0,59.0,9.0,91.0,39.7,41.0
10994334,female,23,174.0,69.0,2.0,83.0,38.0,7.0
11541155,female,69,179.0,82.0,23.0,109.0,40.5,158.0
19467322,female,63,174.0,73.0,9.0,88.0,39.5,42.0
14226375,female,65,171.0,66.0,27.0,104.0,40.9,175.0
11411183,male,54,181.0,87.0,17.0,98.0,40.4,104.0
19275069,male,39,181.0,81.0,3.0,77.0,37.9,6.0
11395289,male,64,198.0,99.0,28.0,103.0,40.6,212.0
19753808,male,33,176.0,80.0,2.0,79.0,38.4,4.0
14510801,male,45,177.0,77.0,3.0,82.0,38.5,9.0
19488650,male,74,179.0,84.0,2.0,81.0,38.2,9.0
18193091,male,57,196.0,96.0,19.0,101.0,40.8,131.0
13310205,male,20,184.0,83.0,7.0,90.0,39.5,22.0
10311591,female,77,176.0,76.0,9.0,85.0,39.3,41.0
15117490,male,66,190.0,97.0,15.0,96.0,39.9,99.0
19084039,female,68,161.0,60.0,16.0,95.0,40.4,91.0
18922964,male,72,191.0,94.0,19.0,103.0,40.6,149.0
12030953,male,29,194.0,95.0,16.0,99.0,40.1,83.0
14861471,female,24,165.0,59.0,4.0,84.0,38.9,15.0
19271328,female,71,165.0,60.0,12.0,93.0,40.1,66.0
11651821,male,33,190.0,90.0,11.0,101.0,40.0,62.0
15638062,female,43,164.0,68.0,30.0,108.0,41.0,195.0
13910402,female,35,175.0,72.0,24.0,113.0,40.7,164.0
19737155,female,54,185.0,82.0,4.0,86.0,39.1,17.0
15455162,male,74,179.0,85.0,11.0,82.0,39.8,51.0
11045810,male,20,193.0,101.0,13.0,98.0,39.9,62.0
11921243,male,32,186.0,88.0,15.0,103.0,40.4,87.0
19988317,female,56,173.0,72.0,21.0,108.0,40.5,140.0
11283803,male,27,184.0,84.0,11.0,91.0,39.7,40.0
13245068,female,26,147.0,51.0,19.0,96.0,40.3,98.0
13919809,male,30,205.0,114.0,22.0,114.0,40.7,174.0
19726861,female,20,172.0,71.0,14.0,96.0,39.9,67.0
14353475,male,40,199.0,105.0,20.0,105.0,40.8,137.0
10048196,male,48,181.0,91.0,28.0,104.0,40.9,190.0
13063778,female,62,159.0,63.0,15.0,93.0,40.1,79.0
18581701,male,21,181.0,79.0,11.0,88.0,39.9,31.0
12893407,male,25,182.0,84.0,17.0,93.0,40.4,66.0
14534663,male,50,187.0,91.0,25.0,94.0,40.7,135.0
14402513,female,36,179.0,73.0,14.0,88.0,40.1,58.0
11991458,female,22,170.0,72.0,2.0,81.0,38.1,6.0
14467814,male,31,192.0,89.0,15.0,90.0,39.9,57.0
11053374,male,27,171.0,72.0,16.0,89.0,40.2,50.0
13421333,male,70,189.0,87.0,12.0,88.0,40.3,64.0
15603206,female,43,171.0,63.0,17.0,90.0,40.5,79.0
11933230,male,43,180.0,82.0,3.0,91.0,38.5,13.0
18907327,female,21,153.0,57.0,11.0,92.0,39.8,50.0
